ClubName,CurrentRating,OriginCountry,OriginConfederation,DomesticLeagueName,PyramidCountry,PyramidConfederation,DomesticLevel,DomesticLeagueSimName,PyramidCountryFinal,PyramidConfederationFinal
Vllaznia Shkodër,71.4,Albania,Europe,Superliga,Albania,Europe,1,Superliga,Albania,Europe
Egnatia Rrogozhinë,71.3,Albania,Europe,Superliga,Albania,Europe,1,Superliga,Albania,Europe
AF Elbasani,70.5,Albania,Europe,Superliga,Albania,Europe,1,Superliga,Albania,Europe
Dinamo City,70,Albania,Europe,Superliga,Albania,Europe,1,Superliga,Albania,Europe
Teuta Durrës,67.8,Albania,Europe,Superliga,Albania,Europe,1,Superliga,Albania,Europe
Partizani Tirana,67.7,Albania,Europe,Superliga,Albania,Europe,1,Superliga,Albania,Europe
Vora,66.6,Albania,Europe,Superliga,Albania,Europe,1,Superliga,Albania,Europe
Tirana,66.1,Albania,Europe,Superliga,Albania,Europe,1,Superliga,Albania,Europe
Flamurtari,66,Albania,Europe,Superliga,Albania,Europe,1,Superliga,Albania,Europe
Bylis,65.3,Albania,Europe,Superliga,Albania,Europe,1,Superliga,Albania,Europe
Skënderbeu Korçë,61.3,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Laçi,61.3,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Pogradeci,59.5,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Besa Kavajë,58.4,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Burreli,56.9,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Apolonia Fier,55.9,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Korabi Peshkopi,55.2,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Kastrioti Krujë,55,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Iliria Fushë-Krujë,54.7,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Lushnja,54.2,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Luftëtari,52.8,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Kukësi,50.9,Albania,Europe,1st Division,Albania,Europe,2,1st Division,Albania,Europe
Sopoti Librazhd,49.9,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Besëlidhja Lezhë,48.9,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Oriku,48.6,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Luzi 2008,47,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Erzeni Shijak,45.6,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
Valbona,45.4,Albania,Europe,2nd Division,Albania,Europe,3,2nd Division,Albania,Europe
