season_year,warning_type,league_name,country,tier,club_count,target_size,deficit
2026,"OVERFLOW","Belgium - A","Belgium",4,31,16,0
2026,"OVERFLOW","Belgium - B","Belgium",4,32,16,0
2026,"OVERFLOW","Belgium - C","Belgium",4,32,16,0
2026,"OVERFLOW","Spain - Group 002","Spain",3,56,18,0
2026,"OVERFLOW","Spain - Group 001","Spain",3,56,18,0
2026,"OVERFLOW","Spain - Group 005","Spain",4,36,18,0
2026,"OVERFLOW","Spain - Group 004","Spain",4,36,18,0
2026,"OVERFLOW","Spain - Group 003","Spain",4,36,18,0
2026,"OVERFLOW","Spain - Autonómicas - Regional Division 030","Spain",6,18,17,0
2026,"COMPLETENESS","Australia - NSW League One","Australia",3,9,14,5
2026,"OVERFLOW","Australia - Capital Territory NPL 002","Australia",3,9,4,0
2026,"OVERFLOW","Brazil - Serie B","Brazil",2,24,20,0
2026,"OVERFLOW","Saint Vincent & Grenadines - Vincy Premier League","Saint Vincent & Grenadines",1,13,10,0
2026,"OVERFLOW","Netherlands - A","Netherlands",5,35,19,0
2026,"OVERFLOW","Netherlands - B","Netherlands",5,35,19,0
2026,"OVERFLOW","Netherlands - C","Netherlands",5,35,19,0
2026,"OVERFLOW","Netherlands - D","Netherlands",5,34,18,0
2026,"OVERFLOW","Ireland - Munster Senior League","Ireland",3,12,10,0
2026,"OVERFLOW","France - Group A","France",4,30,14,0
2026,"OVERFLOW","France - Group B","France",4,30,14,0
2026,"OVERFLOW","France - Group C","France",4,30,14,0
2027,"OVERFLOW","Belgium - A","Belgium",4,31,16,0
2027,"OVERFLOW","Belgium - B","Belgium",4,32,16,0
2027,"OVERFLOW","Belgium - C","Belgium",4,32,16,0
2027,"OVERFLOW","Spain - Group 002","Spain",3,56,18,0
2027,"OVERFLOW","Spain - Group 001","Spain",3,56,18,0
2027,"OVERFLOW","Spain - Group 005","Spain",4,36,18,0
2027,"OVERFLOW","Spain - Group 004","Spain",4,36,18,0
2027,"OVERFLOW","Spain - Group 003","Spain",4,36,18,0
2027,"OVERFLOW","Spain - Autonómicas - Regional Division 030","Spain",6,18,17,0
2027,"COMPLETENESS","Australia - NSW League One","Australia",3,9,14,5
2027,"OVERFLOW","Australia - Capital Territory NPL 002","Australia",3,9,4,0
2027,"OVERFLOW","Brazil - Group A001","Brazil",4,9,8,0
2027,"OVERFLOW","Brazil - Serie B","Brazil",2,23,20,0
2027,"OVERFLOW","Saint Vincent & Grenadines - Vincy Premier League","Saint Vincent & Grenadines",1,13,10,0
2027,"OVERFLOW","Netherlands - A","Netherlands",5,35,19,0
2027,"OVERFLOW","Netherlands - B","Netherlands",5,35,19,0
2027,"OVERFLOW","Netherlands - C","Netherlands",5,35,19,0
2027,"OVERFLOW","Netherlands - D","Netherlands",5,34,18,0
2027,"OVERFLOW","Ireland - Munster Senior League","Ireland",3,12,10,0
2027,"OVERFLOW","France - Group A","France",4,30,14,0
2027,"OVERFLOW","France - Group B","France",4,30,14,0
