season_year,country,league,tier,club_count,target_count,deficit,avg_financial_power,min_financial_power,max_financial_power,warning_class
2026,"Benin","Benin - Championnat National",1,18,18,0,59.1,30.5,98.1,"OK"
2026,"Papua New Guinea","Papua New Guinea - National Soccer League",1,11,11,0,40.0,21.0,64.9,"OK"
2026,"Angola","Angola - Girabola",1,16,16,0,61.2,46.1,85.7,"OK"
2026,"Cambodia","Cambodia - Premier League",1,11,11,0,47.0,22.6,73.3,"OK"
2026,"Wales","Wales - FAW Championship",2,32,32,0,46.7,20.5,84.8,"OK"
2026,"Wales","Wales - Premier League",1,12,12,0,59.9,25.7,100.0,"OK"
2026,"Sudan","Sudan - Sudani Premier League",1,24,24,0,54.0,33.0,77.9,"OK"
2026,"England","England - National League South",6,24,24,0,45.7,22.5,78.0,"OK"
2026,"England","England - National League North",6,24,24,0,55.7,36.5,74.5,"OK"
2026,"England","England - Southern League Premier Division Central",7,22,22,0,53.5,20.0,73.3,"OK"
2026,"England","England - Southern League Premier Division South",7,22,22,0,48.0,23.0,71.1,"OK"
2026,"England","England - Championship",2,24,24,0,66.0,32.7,97.0,"OK"
2026,"England","England - Premier League",1,20,20,0,79.8,53.2,99.9,"OK"
2026,"England","England - League One",3,24,24,0,61.6,45.8,88.4,"OK"
2026,"England","England - National League",5,24,24,0,54.2,23.4,88.7,"OK"
2026,"England","England - League Two",4,24,24,0,64.7,35.5,100.0,"OK"
2026,"England","England - Isthmian League Premier Division",7,21,22,1,49.5,20.3,74.1,"OK"
2026,"England","England - Northern Premier League Premier Division",7,22,22,0,50.4,28.5,76.0,"OK"
2026,"Paraguay","Paraguay - Division Profesional",1,12,12,0,70.5,53.5,97.8,"OK"
2026,"Paraguay","Paraguay - Division Intermedia",2,14,14,0,64.3,41.8,80.2,"OK"
2026,"Kazakhstan","Kazakhstan - 1. Division",2,14,14,0,53.4,38.1,74.6,"OK"
2026,"Kazakhstan","Kazakhstan - Premier League",1,14,14,0,56.2,35.4,73.0,"OK"
2026,"Portugal","Portugal - Segunda Liga",2,18,18,0,62.2,36.0,91.5,"OK"
2026,"Portugal","Portugal - Serie A",4,14,14,0,58.5,41.5,89.8,"OK"
2026,"Portugal","Portugal - Serie B",4,14,14,0,50.8,32.9,83.5,"OK"
2026,"Portugal","Portugal - Liga 003",3,20,20,0,58.5,36.3,98.6,"OK"
2026,"Portugal","Portugal - Serie C",4,14,14,0,53.1,40.5,71.8,"OK"
2026,"Portugal","Portugal - Serie D",4,14,14,0,55.8,30.7,82.9,"OK"
2026,"Portugal","Portugal - Primeira Liga",1,18,18,0,75.0,55.2,92.7,"OK"
2026,"Brunei Darussalam","Brunei Darussalam - Super League",1,10,10,0,51.0,38.4,65.2,"OK"
2026,"Syria","Syria - Premier League",1,16,16,0,61.8,40.3,88.9,"OK"
2026,"New Caledonia","New Caledonia - Super Ligue",1,10,10,0,45.5,23.5,59.7,"OK"
2026,"Solomon Islands","Solomon Islands - S-League",1,11,11,0,47.9,25.3,62.6,"OK"
2026,"Grenada","Grenada - Premier Division",1,10,10,0,56.7,32.6,76.5,"OK"
2026,"Greece","Greece - Gamma Ethniki - Regional Division 001",3,15,15,0,54.2,26.5,77.6,"OK"
2026,"Greece","Greece - Super League 002",2,20,20,0,46.9,23.9,65.4,"OK"
2026,"Greece","Greece - Super League 001",1,14,14,0,69.6,44.0,91.0,"OK"
2026,"Greece","Greece - Gamma Ethniki - Regional Division 005",3,14,14,0,42.2,20.1,60.5,"OK"
2026,"Greece","Greece - Gamma Ethniki - Regional Division 004",3,14,14,0,43.1,22.9,65.5,"OK"
2026,"Greece","Greece - Gamma Ethniki - Regional Division 003",3,15,15,0,45.7,32.0,70.4,"OK"
2026,"Greece","Greece - Gamma Ethniki - Regional Division 002",3,15,15,0,51.0,26.0,86.8,"OK"
2026,"Cayman Islands","Cayman Islands - CIFA Premier League",1,12,12,0,44.5,21.8,69.4,"OK"
2026,"Mongolia","Mongolia - Premier League",1,10,10,0,51.4,27.0,74.2,"OK"
2026,"Latvia","Latvia - Virsliga",1,9,9,0,58.9,33.0,81.0,"OK"
2026,"Latvia","Latvia - 1. Liga",2,14,14,0,55.0,30.4,83.1,"OK"
2026,"Morocco","Morocco - Botola 002",2,16,16,0,58.4,33.8,92.0,"OK"
2026,"Morocco","Morocco - Botola Pro",1,16,16,0,69.2,41.8,100.0,"OK"
2026,"Iran","Iran - Persian Gulf Pro League",1,16,16,0,62.3,38.1,86.3,"OK"
2026,"Iran","Iran - Azadegan League",2,18,18,0,61.8,41.0,98.3,"OK"
2026,"Mali","Mali - Première Division",1,14,14,0,59.8,21.9,86.5,"OK"
2026,"Panama","Panama - Liga Prom",2,24,24,0,55.7,18.4,82.8,"OK"
2026,"Panama","Panama - LPF",1,12,12,0,61.4,48.5,96.6,"OK"
2026,"Guadeloupe","Guadeloupe - Division d'Honneur",1,14,14,0,53.1,26.5,91.1,"OK"
2026,"Guyana","Guyana - GFF Elite League",1,10,10,0,56.7,22.5,84.9,"OK"
2026,"Guatemala","Guatemala - Primera Division",2,20,20,0,62.1,42.4,83.5,"OK"
2026,"Guatemala","Guatemala - Liga Nacional",1,12,12,0,65.2,37.1,74.1,"OK"
2026,"Iraq","Iraq - Iraqi League",1,20,20,0,64.5,23.3,100.0,"OK"
2026,"Chile","Chile - Primera B",2,15,15,0,63.8,41.9,87.0,"OK"
2026,"Chile","Chile - Segunda División",3,13,13,0,53.4,29.0,77.2,"OK"
2026,"Chile","Chile - Primera División",1,16,16,0,63.6,40.4,82.9,"OK"
2026,"Chile","Chile - Tercera A",4,15,15,0,54.3,29.4,67.5,"OK"
2026,"Laos","Laos - Lao League",1,10,10,0,35.3,20.4,58.5,"OK"
2026,"Nepal","Nepal - Super League",1,7,7,0,51.3,36.7,83.1,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 001",5,19,19,0,54.2,38.0,77.5,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 002",5,19,19,0,54.4,23.7,84.2,"OK"
2026,"Argentina","Argentina - Torneo Promocional Amateur",7,11,11,0,41.3,20.0,83.4,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 016",5,18,18,0,55.9,27.1,95.4,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 017",5,18,18,0,46.0,20.6,79.0,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 014",5,18,18,0,50.0,28.2,69.8,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 015",5,18,18,0,51.5,23.9,82.1,"OK"
2026,"Argentina","Argentina - Torneo Regional Federal Amateur - Regional Division 018",5,18,18,0,44.8,19.0,66.0,"OK"
