Confederation,Country,Level,League,ClubsObserved,ClubsFixed,IsRegionalLevel,LeagueIsDivision,LeagueIsMergedRegionalCompetition,DivisionsCountFixed,DivisionSizesFixed,DivisionNamesFixed,ClubsFixedTotal,StructureSources
Africa,Algeria,1,Ligue 1,16,16,FALSE,TRUE,FALSE,1,16,Ligue 1,16,single league
Africa,Algeria,2,Ligue 2,32,32,TRUE,FALSE,TRUE,2,"16,16",Ligue 2 - Regional Division 1 | Ligue 2 - Regional Division 2,32,derived from dataset
Africa,Angola,1,Girabola,16,16,FALSE,TRUE,FALSE,1,16,Girabola,16,single league
Africa,Benin,1,Championnat National,18,18,FALSE,TRUE,FALSE,1,18,Championnat National,18,single league
Africa,Botswana,1,Premier League,16,16,FALSE,TRUE,FALSE,1,16,Premier League,16,single league
Africa,Burkina Faso,1,Ligue 1,16,16,FALSE,TRUE,FALSE,1,16,Ligue 1,16,single league
Africa,Burundi,1,Ligue A,16,16,FALSE,TRUE,FALSE,1,16,Ligue A,16,single league
Africa,Cabo Verde,1,Campeonato Nacional,10,10,FALSE,TRUE,FALSE,1,10,Campeonato Nacional,10,single league
Africa,Cameroon,1,Elite One,14,14,FALSE,TRUE,FALSE,1,14,Elite One,14,single league
Africa,Cameroon,2,Elite Two,16,16,FALSE,TRUE,FALSE,1,16,Elite Two,16,single league
Africa,Congo,1,Ligue 1,14,14,FALSE,TRUE,FALSE,1,14,Ligue 1,14,single league
Africa,Congo DR,1,Ligue 1,31,31,TRUE,FALSE,TRUE,2,"16,15",Ligue 1 - Regional Division 1 | Ligue 1 - Regional Division 2,31,derived from dataset
Africa,Côte d'Ivoire,1,Ligue 1,16,16,FALSE,TRUE,FALSE,1,16,Ligue 1,16,single league
Africa,Djibouti,1,Division 1,10,10,FALSE,TRUE,FALSE,1,10,Division 1,10,single league
Africa,Egypt,1,Premier League,21,21,FALSE,TRUE,FALSE,1,21,Premier League,21,single league
Africa,Egypt,2,Second Division A,18,18,FALSE,TRUE,FALSE,1,18,Second Division A,18,single league
Africa,Eswatini,1,Premier League,16,16,FALSE,TRUE,FALSE,1,16,Premier League,16,single league
Africa,Ethiopia,1,Premier League,20,20,FALSE,TRUE,FALSE,1,20,Premier League,20,single league
Africa,Ethiopia,2,Higher League,21,21,FALSE,TRUE,FALSE,1,21,Higher League,21,single league
Africa,Gabon,1,Championnat D1,13,13,FALSE,TRUE,FALSE,1,13,Championnat D1,13,single league
Africa,Gambia,1,GFA League,16,16,FALSE,TRUE,FALSE,1,16,GFA League,16,single league
Africa,Ghana,1,Premier League,18,18,FALSE,TRUE,FALSE,1,18,Premier League,18,single league
Africa,Ghana,2,Division One,48,48,TRUE,FALSE,TRUE,3,"16,16,16",Division One - Regional Division 1 | Division One - Regional Division 2 | Division One - Regional Division 3,48,derived from dataset
Africa,Guinea,1,Ligue 1,14,14,FALSE,TRUE,FALSE,1,14,Ligue 1,14,single league
Africa,Kenya,1,FKF Premier League,18,18,FALSE,TRUE,FALSE,1,18,FKF Premier League,18,single league
Africa,Kenya,2,Super League,20,20,FALSE,TRUE,FALSE,1,20,Super League,20,single league
Africa,Lesotho,1,Premier League,16,16,FALSE,TRUE,FALSE,1,16,Premier League,16,single league
Africa,Liberia,1,LFA First Division,15,15,FALSE,TRUE,FALSE,1,15,LFA First Division,15,single league
Africa,Libya,1,Premier League,36,36,TRUE,FALSE,TRUE,2,"18,18",Premier League - Regional Division 1 | Premier League - Regional Division 2,36,derived from dataset
Africa,Madagascar,1,Pro League,15,15,FALSE,TRUE,FALSE,1,15,Pro League,15,single league
Africa,Malawi,1,Super League,16,16,FALSE,TRUE,FALSE,1,16,Super League,16,single league
Africa,Mali,1,Première Division,14,14,FALSE,TRUE,FALSE,1,14,Première Division,14,single league
Africa,Mauritania,1,Premier League,14,14,FALSE,TRUE,FALSE,1,14,Premier League,14,single league
Africa,Mauritius,1,Mauritian League,10,10,FALSE,TRUE,FALSE,1,10,Mauritian League,10,single league
Africa,Morocco,1,Botola Pro,16,16,FALSE,TRUE,FALSE,1,16,Botola Pro,16,single league
Africa,Morocco,2,Botola 2,16,16,FALSE,TRUE,FALSE,1,16,Botola 2,16,single league
Africa,Mozambique,1,Moçambola,14,14,FALSE,TRUE,FALSE,1,14,Moçambola,14,single league
Africa,Niger,1,Super Ligue,16,16,FALSE,TRUE,FALSE,1,16,Super Ligue,16,single league (added nation)
Africa,Nigeria,1,NPFL,20,20,FALSE,TRUE,FALSE,1,20,NPFL,20,single league
Africa,Rwanda,1,Premier League,16,16,FALSE,TRUE,FALSE,1,16,Premier League,16,single league
Africa,Réunion,1,Regionale 1,14,14,FALSE,TRUE,FALSE,1,14,Regionale 1,14,single league
Africa,Senegal,1,Ligue 1,16,16,FALSE,TRUE,FALSE,1,16,Ligue 1,16,single league
Africa,Seychelles,1,Premier League,10,10,FALSE,TRUE,FALSE,1,10,Premier League,10,single league (replenished missing clubs)
Africa,Sierra Leone,1,Premier League,18,18,FALSE,TRUE,FALSE,1,18,Premier League,18,single league
Africa,Somalia,1,Somali Premier League,11,11,FALSE,TRUE,FALSE,1,11,Somali Premier League,11,single league
Africa,South Africa,1,PSL,16,16,FALSE,TRUE,FALSE,1,16,PSL,16,single league
Africa,South Africa,2,1st Division,16,16,FALSE,TRUE,FALSE,1,16,1st Division,16,single league
Africa,Sudan,1,Sudani Premier League,24,24,FALSE,TRUE,FALSE,1,24,Sudani Premier League,24,single league
Africa,São Tomé e Príncipe,1,Campeonato Nacional,16,16,FALSE,TRUE,FALSE,1,16,Campeonato Nacional,16,single league
Africa,Tanzania,1,Ligi kuu Bara,16,16,FALSE,TRUE,FALSE,1,16,Ligi kuu Bara,16,single league
Africa,Togo,1,Championnat National,14,14,FALSE,TRUE,FALSE,1,14,Championnat National,14,single league
Africa,Tunisia,1,Ligue 1,16,16,FALSE,TRUE,FALSE,1,16,Ligue 1,16,single league
Africa,Tunisia,2,Ligue 2,28,28,FALSE,TRUE,FALSE,1,28,Ligue 2,28,single league
Africa,Uganda,1,Premier League,16,16,FALSE,TRUE,FALSE,1,16,Premier League,16,single league
Africa,Zambia,1,Super League,18,18,FALSE,TRUE,FALSE,1,18,Super League,18,single league
Africa,Zimbabwe,1,Premier Soccer League,18,18,FALSE,TRUE,FALSE,1,18,Premier Soccer League,18,single league
Asia,Australia,1,A-League Men,12,12,FALSE,TRUE,FALSE,1,12,A-League Men,12,single league
Asia,Australia,2,Capital Territory NPL,8,8,TRUE,TRUE,FALSE,6,"8,16,12,12,14,12",Capital Territory NPL | New South Wales NPL | Northern NSW NPL | Queensland NPL | Victoria NPL | Western Australia NPL,74,opta league counts
Asia,Australia,2,New South Wales NPL,16,16,TRUE,TRUE,FALSE,6,"8,16,12,12,14,12",Capital Territory NPL | New South Wales NPL | Northern NSW NPL | Queensland NPL | Victoria NPL | Western Australia NPL,74,opta league counts
Asia,Australia,2,Northern NSW NPL,12,12,TRUE,TRUE,FALSE,6,"8,16,12,12,14,12",Capital Territory NPL | New South Wales NPL | Northern NSW NPL | Queensland NPL | Victoria NPL | Western Australia NPL,74,opta league counts
Asia,Australia,2,Queensland NPL,12,12,TRUE,TRUE,FALSE,6,"8,16,12,12,14,12",Capital Territory NPL | New South Wales NPL | Northern NSW NPL | Queensland NPL | Victoria NPL | Western Australia NPL,74,opta league counts
Asia,Australia,2,Victoria NPL,14,14,TRUE,TRUE,FALSE,6,"8,16,12,12,14,12",Capital Territory NPL | New South Wales NPL | Northern NSW NPL | Queensland NPL | Victoria NPL | Western Australia NPL,74,opta league counts
Asia,Australia,2,Western Australia NPL,12,12,TRUE,TRUE,FALSE,6,"8,16,12,12,14,12",Capital Territory NPL | New South Wales NPL | Northern NSW NPL | Queensland NPL | Victoria NPL | Western Australia NPL,74,opta league counts
Asia,Australia,3,Capital Territory NPL 2,4,4,TRUE,TRUE,FALSE,5,"4,14,7,9,12",Capital Territory NPL 2 | NSW League One | Queensland Premier League | Victoria PL 1 | Western Australia State League 1,46,opta league counts
Asia,Australia,3,NSW League One,14,14,TRUE,TRUE,FALSE,5,"4,14,7,9,12",Capital Territory NPL 2 | NSW League One | Queensland Premier League | Victoria PL 1 | Western Australia State League 1,46,opta league counts
Asia,Australia,3,Queensland Premier League,7,7,TRUE,TRUE,FALSE,5,"4,14,7,9,12",Capital Territory NPL 2 | NSW League One | Queensland Premier League | Victoria PL 1 | Western Australia State League 1,46,opta league counts
Asia,Australia,3,Victoria PL 1,9,9,TRUE,TRUE,FALSE,5,"4,14,7,9,12",Capital Territory NPL 2 | NSW League One | Queensland Premier League | Victoria PL 1 | Western Australia State League 1,46,opta league counts
Asia,Australia,3,Western Australia State League 1,12,12,TRUE,TRUE,FALSE,5,"4,14,7,9,12",Capital Territory NPL 2 | NSW League One | Queensland Premier League | Victoria PL 1 | Western Australia State League 1,46,opta league counts
Asia,Bahrain,1,Premier League,12,12,FALSE,TRUE,FALSE,1,12,Premier League,12,single league
Asia,Bahrain,2,Second Division,12,12,FALSE,TRUE,FALSE,1,12,Second Division,12,single league
Asia,Bangladesh,1,Premier League,10,10,FALSE,TRUE,FALSE,1,10,Premier League,10,single league
Asia,Bhutan,1,Premier League,10,10,FALSE,TRUE,FALSE,1,10,Premier League,10,single league (replenished missing clubs)
Asia,Brunei Darussalam,1,Super League,10,10,FALSE,TRUE,FALSE,1,10,Super League,10,single league
Asia,Cambodia,1,Premier League,11,11,FALSE,TRUE,FALSE,1,11,Premier League,11,single league
Asia,China PR,1,Chinese Super League,16,16,FALSE,TRUE,FALSE,1,16,Chinese Super League,16,single league
Asia,China PR,2,Chinese Football League 1,16,16,FALSE,TRUE,FALSE,1,16,Chinese Football League 1,16,single league
Asia,China PR,3,Chinese Football League 2,24,24,FALSE,TRUE,FALSE,1,24,Chinese Football League 2,24,single league
Asia,Chinese Taipei,1,Taiwan Football Premier League,8,8,FALSE,TRUE,FALSE,1,8,Taiwan Football Premier League,8,single league
Asia,Guam,1,G League,14,14,FALSE,TRUE,FALSE,1,14,G League,14,single league
Asia,Hong Kong,1,Premier League,10,10,FALSE,TRUE,FALSE,1,10,Premier League,10,single league
Asia,Hong Kong,2,HKFA 1st Division,14,14,FALSE,TRUE,FALSE,1,14,HKFA 1st Division,14,single league
Asia,India,1,Indian Super League,13,13,FALSE,TRUE,FALSE,1,13,Indian Super League,13,single league
Asia,India,2,I-League,12,12,FALSE,TRUE,FALSE,1,12,I-League,12,single league
Asia,India,3,I-League 2,9,9,FALSE,TRUE,FALSE,1,9,I-League 2,9,single league
Asia,India,4,Calcutta Premier Division,18,18,FALSE,TRUE,FALSE,1,18,Calcutta Premier Division,18,single league
Asia,Indonesia,1,Liga Nusantara,22,22,FALSE,TRUE,FALSE,1,22,Liga Nusantara,22,single league
